drug_1	drug_2
DB00396	DB00783
DB00563	DB00091
DB01229	DB01030
DB00014	DB01128
DB01073	DB00104
DB01165	DB00537
DB01229	DB00762
DB00563	DB00570
DB01233	DB01234
DB01234	DB00889
DB01216	DB00499
DB01248	DB00997
DB01248	DB00762
DB00773	DB00541
DB01248	DB01196
DB01115	DB00641
DB00722	DB00641
DB00541	DB00762
DB01041	DB01073
DB01204	DB01248
DB00215	DB00472
DB01229	DB00188
DB00482	DB01248
DB00575	DB00422
DB01041	DB01234
DB01229	DB01196
DB01229	DB00530
DB01248	DB00317
DB00530	DB01248
DB00399	DB01006
DB01229	DB01248
DB00553	DB00307
DB00480	DB01234
DB00945	DB00758
DB01204	DB00188
DB00188	DB00762
DB00482	DB00530
DB01041	DB00762
DB00441	DB00642
DB01248	DB00188
DB01073	DB00188
DB00482	DB00317
DB01259	DB01006
DB01259	DB01229
DB01041	DB00188
DB01248	DB00619
DB00413	DB01175
DB04876	DB01132
DB04876	DB00222
DB01229	DB00441
DB00188	DB00997
DB00398	DB00851
DB02546	DB00188
DB00014	DB00624
DB00704	DB01043
DB00973	DB00641
DB02546	DB00307
DB01156	DB00704
DB00904	DB01075
DB00704	DB00822
DB01259	DB01248
DB00333	DB00822
DB00480	DB00188
DB00248	DB01235
DB00563	DB00619
DB00915	DB00571
DB01259	DB06589
DB08873	DB00811
DB00252	DB00682
DB01076	DB00641
DB00381	DB00999
DB01006	DB00675
DB00997	DB01234
DB00482	DB00762
DB00289	DB00422
DB00999	DB00335
DB00441	DB01248
DB00642	DB00762
DB00441	DB00762
DB00624	DB01126
DB00317	DB00675
DB00588	DB00938
DB00472	DB00402
DB00530	DB02546
DB00572	DB00571
DB01259	DB00683
DB01268	DB00530
DB00316	DB01050
DB00973	DB01076
DB00381	DB00966
DB00722	DB00966
DB01268	DB01248
DB01224	DB00715
DB06751	DB01050
DB00399	DB00675
DB00458	DB00472
DB00641	DB01039
DB01076	DB01039
DB01032	DB00198
DB00014	DB00675
DB00514	DB00201
DB05294	DB01248
DB00904	DB01234
DB01030	DB00317
DB00877	DB00091
DB00687	DB00741
DB06203	DB01132
DB00188	DB01234
DB00441	DB00530
DB00722	DB00381
DB01229	DB00877
DB01151	DB00704
DB00704	DB00715
DB00412	DB00222
DB00877	DB00530
DB00917	DB00929
DB00334	DB00909
DB01229	DB02546
DB01229	DB01268
DB01080	DB00907
DB00945	DB00641
DB00530	DB00642
DB06589	DB01248
DB00530	DB00605
DB00313	DB00334
DB01268	DB00877
DB00530	DB00307
DB00480	DB00851
DB05294	DB00642
DB00445	DB01248
DB00441	DB01030
DB00201	DB00975
DB00186	DB00652
DB01041	DB00399
DB00203	DB00559
DB00402	DB00285
DB01259	DB01030
DB01248	DB01254
DB01229	DB00997
DB01259	DB00441
DB00877	DB00398
DB00317	DB00641
DB01175	DB00659
DB01151	DB01175
DB00398	DB01030
DB01128	DB01126
DB01233	DB01075
DB01216	DB00624
DB01248	DB01234
DB00297	DB00281
DB00313	DB01238
DB00399	DB01076
DB00810	DB00201
DB00313	DB01254
DB00313	DB00480
DB01259	DB00313
DB00313	DB00398
DB01268	DB00851
DB01273	DB00704
DB00711	DB00518
DB01156	DB00402
DB00313	DB00773
DB00273	DB00191
DB01259	DB00642
DB00682	DB00476
DB00398	DB00188
DB00633	DB00818
DB01001	DB00571
DB01224	DB00422
DB01268	DB00441
DB01233	DB01009
DB00295	DB00333
DB02546	DB01248
DB00399	DB01254
DB01011	DB00842
DB01611	DB00188
DB01248	DB00227
DB01229	DB00227
DB01098	DB01039
DB00181	DB00186
DB00441	DB01254
DB00215	DB00422
DB00642	DB01234
DB00398	DB00530
DB00530	DB01030
DB00818	DB01221
DB00899	DB00818
DB00184	DB00898
DB06589	DB00642
DB06589	DB00530
DB00843	DB00996
DB00476	DB00996
DB00398	DB01248
DB00741	DB01234
DB00334	DB00502
DB00252	DB01076
DB00441	DB00997
DB01098	DB00175
DB01098	DB01076
DB00398	DB01006
DB00398	DB02546
DB08877	DB01234
DB00264	DB00999
DB00980	DB01175
DB00563	DB00860
DB00973	DB00091
DB01098	DB00973
DB05294	DB01128
DB01197	DB01029
DB00642	DB01248
DB00441	DB00398
DB00898	DB00996
DB00480	DB00762
DB00334	DB00641
DB00530	DB01197
DB00334	DB00904
DB06589	DB00441
DB00834	DB00929
DB01006	DB01254
DB00734	DB00834
DB00673	DB00747
DB00396	DB00945
DB06589	DB00997
DB00445	DB06589
DB00295	DB00996
DB00480	DB02546
DB06589	DB01030
DB00218	DB01234
DB00480	DB01073
DB00490	DB00819
DB01156	DB01273
DB00184	DB00273
DB00841	DB06213
DB00242	DB02546
DB00316	DB00193
DB01624	DB00502
DB01043	DB00843
DB00014	DB00499
DB00468	DB00277
DB00297	DB01400
DB00297	DB00813
DB00468	DB00537
DB01229	DB00398
DB01611	DB01248
DB00586	DB01628
DB00273	DB00915
DB01194	DB00484
DB00297	DB01234
DB00482	DB01586
DB01175	DB00402
