drug_1	drug_2
DB00484	DB00373
DB00773	DB00188
DB01248	DB00762
DB00818	DB01236
DB00313	DB00252
DB00633	DB00575
DB02546	DB00619
DB01194	DB00373
DB00877	DB00619
DB00586	DB00316
DB00514	DB01069
DB00586	DB00929
DB00850	DB00321
DB00277	DB01223
DB00317	DB00762
DB00530	DB00642
DB00295	DB00996
DB04876	DB01132
DB00860	DB00975
DB00480	DB01234
DB00966	DB00381
DB00455	DB00471
DB02546	DB00188
DB00945	DB00975
DB00572	DB01081
DB00572	DB00733
DB01098	DB00091
DB00115	DB01229
DB01156	DB00704
DB00983	DB00394
DB00905	DB00373
DB00313	DB00273
DB00277	DB01075
DB00273	DB01202
DB00612	DB00966
DB00755	DB01169
DB00706	DB01591
DB00381	DB01076
DB00999	DB00594
DB00436	DB01203
DB00860	DB00518
DB01006	DB00717
DB00539	DB01229
DB00399	DB00997
DB00722	DB00999
DB00264	DB00999
DB00999	DB01029
DB00999	DB00571
DB00537	DB00440
DB00899	DB00818
DB01225	DB00682
DB00775	DB00877
DB06335	DB00412
DB01229	DB01259
DB00313	DB00734
DB00211	DB00104
DB02638	DB00368
DB05294	DB01248
DB00973	DB01076
DB00313	DB00996
DB00641	DB01039
DB01259	DB01030
DB00203	DB01088
DB01075	DB01050
DB00829	DB00813
DB01016	DB06203
DB01241	DB01098
DB01229	DB00997
DB01114	DB00852
DB01114	DB00956
DB01032	DB01394
DB00480	DB00188
DB00318	DB01069
DB00563	DB00213
DB01259	DB01006
DB00999	DB01197
DB00497	DB00945
DB00371	DB00945
DB00669	DB00788
DB00966	DB00999
DB00421	DB00999
DB00999	DB00384
DB00696	DB00201
DB01050	DB00956
DB00363	DB00472
DB00316	DB01009
DB00475	DB00321
DB01001	DB00332
DB00455	DB00852
DB00497	DB01050
DB01183	DB00652
DB00869	DB00373
DB01234	DB00537
DB00741	DB00537
DB00612	DB00999
DB00514	DB00809
DB01050	DB00852
DB00877	DB00091
DB00627	DB00227
DB00627	DB00641
DB00335	DB08868
DB00343	DB08868
DB00318	DB00316
DB00316	DB00647
DB00316	DB00652
DB00497	DB00316
DB06711	DB01620
DB00316	DB00193
DB00412	DB00222
DB01132	DB00222
DB00586	DB00908
DB00682	DB00908
DB00921	DB01183
DB01032	DB00537
DB00852	DB00788
DB00695	DB00978
DB06203	DB01132
DB00388	DB01069
DB00334	DB00472
DB00588	DB00938
DB00977	DB00294
DB00973	DB00641
DB00977	DB00823
DB00783	DB00367
DB00668	DB00281
DB00668	DB00297
DB01029	DB01023
DB01242	DB00472
DB01248	DB00317
DB00472	DB01224
DB00313	DB01356
DB00203	DB00820
DB00997	DB00188
DB01229	DB08916
DB00818	DB00683
DB01259	DB06589
DB00602	DB00643
DB00758	DB00945
DB00264	DB01023
DB01248	DB00997
DB00977	DB00717
DB00313	DB00997
DB00903	DB00412
DB00530	DB01248
DB00313	DB00334
DB01001	DB00394
DB00758	DB01076
DB00841	DB00368
DB00938	DB00394
DB00014	DB01128
DB01238	DB01356
DB01212	DB01137
DB00878	DB00281
DB01006	DB00050
DB00983	DB00938
DB00641	DB00317
DB00683	DB00813
DB00476	DB01175
DB00588	DB00983
DB00388	DB01233
DB00695	DB00421
DB00215	DB00472
DB01229	DB00441
DB00641	DB00175
DB00553	DB00307
DB00388	DB00852
DB01197	DB01029
DB00497	DB00327
DB00749	DB00571
DB00966	DB00758
DB01225	DB01098
DB00327	DB00297
DB00695	DB00872
DB01076	DB00641
DB00295	DB00316
DB00945	DB01132
DB00482	DB01586
DB01175	DB00659
DB01043	DB00989
DB00295	DB01221
DB00312	DB00599
DB00588	DB00860
DB06203	DB04878
DB00203	DB06710
DB00476	DB00996
DB00834	DB00929
DB00398	DB00997
DB00938	DB05039
DB06335	DB01132
DB06288	DB01171
DB00381	DB00999
DB01156	DB01175
DB00602	DB00518
DB01268	DB00317
DB00627	DB00973
DB01356	DB00661
DB00471	DB00860
DB01229	DB00758
DB00921	DB00704
DB00313	DB01238
DB01248	DB01254
DB01098	DB01076
DB00627	DB00945
DB00497	DB01183
DB00471	DB00588
DB01268	DB00398
DB00945	DB00647
DB00572	DB00454
DB00972	DB00588
DB01085	DB00195
DB01212	DB00281
DB01114	DB00397
DB00318	DB01114
DB00014	DB00675
DB01076	DB00945
DB00445	DB01248
DB00381	DB01029
DB00441	DB01248
DB00295	DB00704
DB00783	DB00717
DB00691	DB00999
DB00706	DB01126
DB00977	DB00304
DB01194	DB00484
DB00514	DB00908
DB00297	DB00281
DB00977	DB00367
DB01234	DB00281
DB00273	DB00191
DB00945	DB00956
DB00652	DB00945
DB00945	DB00175
DB00721	DB00277
DB01075	DB00788
DB01075	DB00852
DB00813	DB00450
DB00721	DB00668
DB01275	DB00999
DB00999	DB00598
DB00999	DB00960
DB00999	DB00373
DB00397	DB00956
DB00956	DB00852
DB00388	DB01050
DB00388	DB01064
DB01069	DB00454
DB01626	DB00232
DB00388	DB06691
