drug1	drug1_name	drug2	drug2_name	common_disease	common_disease_name
DB06285	Teriparatide	DB00630	alendronate	C0029458	Osteoporosis, Postmenopausal
DB06285	Teriparatide	DB00630	alendronate	C0029456	osteoporosis
DB00531	cyclophosphamide	DB00091	cyclosporine	C0026896	myasthenia gravis
DB00531	cyclophosphamide	DB01073	fludarabine	C0023434	chronic lymphocytic leukemia (CLL)
DB00563	methotrexate	DB00091	cyclosporine	C0033860	psoriasis
DB00563	methotrexate	DB00091	cyclosporine	C0003873	rheumatoid arthritis
DB00515	cisplatin	DB00773	etoposide	C0033578	Prostatic Neoplasms
DB00515	cisplatin	DB00773	etoposide	C0005695	Bladder Neoplasm
DB00515	cisplatin	DB00773	etoposide	C0039590	Testicular Neoplasms
DB00515	cisplatin	DB00773	etoposide	C0027819	neuroblastoma
DB00515	cisplatin	DB00361	vinorelbine	C1458155	Mammary Neoplasms
DB00515	cisplatin	DB00361	vinorelbine	C0919267	Ovarian Neoplasm
DB00515	cisplatin	DB00361	vinorelbine	C0019829	Hodgkin's lymphoma
DB01229	paclitaxel	DB01030	topotecan	C1140680	Malignant Neoplasm Of Ovary
DB01229	paclitaxel	DB01030	topotecan	C0919267	Ovarian Neoplasm
DB01229	paclitaxel	DB01030	topotecan	C0007131	Non-Small Cell Lung Carcinoma
DB00544	5-fluorouracil	DB00848	Levamisole	C0009375	Colonic Neoplasms
DB00544	5-fluorouracil	DB00848	Levamisole	C0278996	Cancer Of Head And Neck
DB00773	etoposide	DB00531	cyclophosphamide	C0023467	Leukemia, Myelocytic, Acute
DB00773	etoposide	DB00531	cyclophosphamide	C0024121	Lung Neoplasms
DB00773	etoposide	DB00531	cyclophosphamide	C0026948	Mycosis Fungoides
DB00773	etoposide	DB00531	cyclophosphamide	C0553580	Ewing's sarcoma
DB00773	etoposide	DB00531	cyclophosphamide	C0024299	Lymphoma
DB00773	etoposide	DB00531	cyclophosphamide	C0027819	neuroblastoma
DB00773	etoposide	DB00531	cyclophosphamide	C0039590	Testicular Neoplasms
DB00773	etoposide	DB00531	cyclophosphamide	C0035412	rhabdomyosarcoma
DB00515	cisplatin	DB00544	5-fluorouracil	C0038356	Stomach Neoplasms
DB00515	cisplatin	DB00544	5-fluorouracil	C1458155	Mammary Neoplasms
DB01165	ofloxacin	DB00537	ciprofloxacin	C0149725	Lower respiratory tract infection
DB01165	ofloxacin	DB00537	ciprofloxacin	C0014836	Escherichia coli Infections
DB01165	ofloxacin	DB00537	ciprofloxacin	C2242472	Infection of bone
DB01165	ofloxacin	DB00537	ciprofloxacin	C0037199	sinusitis
DB01165	ofloxacin	DB00537	ciprofloxacin	C0033581	prostatitis
DB01165	ofloxacin	DB00537	ciprofloxacin	C0010692	Cystitis
DB01229	paclitaxel	DB00762	irinotecan	C1458155	Mammary Neoplasms
DB01229	paclitaxel	DB00762	irinotecan	C0007131	Non-Small Cell Lung Carcinoma
DB01229	paclitaxel	DB00361	vinorelbine	C0007131	Non-Small Cell Lung Carcinoma
DB01229	paclitaxel	DB00361	vinorelbine	C1458155	Mammary Neoplasms
DB01229	paclitaxel	DB00361	vinorelbine	C0919267	Ovarian Neoplasm
DB01005	hydroxyurea	DB00544	5-fluorouracil	C0007134	renal cell carcinoma (RCC)
DB01005	hydroxyurea	DB00544	5-fluorouracil	C0278996	Cancer Of Head And Neck
DB01005	hydroxyurea	DB00544	5-fluorouracil	C0018671	Head And Neck Neoplasms
DB00563	methotrexate	DB00570	vinblastine	C0024305	non-Hodgkin lymphoma (NHL)
DB00563	methotrexate	DB00570	vinblastine	C0024121	Lung Neoplasms
DB00563	methotrexate	DB00570	vinblastine	C0026948	Mycosis Fungoides
DB00563	methotrexate	DB00570	vinblastine	C0039590	Testicular Neoplasms
DB00563	methotrexate	DB00570	vinblastine	C1458155	Mammary Neoplasms
DB00563	methotrexate	DB00987	cytarabine	C0024305	non-Hodgkin lymphoma (NHL)
DB00563	methotrexate	DB00987	cytarabine	C0023418	Leukemia
DB00563	methotrexate	DB00987	cytarabine	C0023449	Acute Lymphocytic Leukemia
DB01216	finasteride	DB00499	flutamide	C0033578	Prostatic Neoplasms
DB01229	paclitaxel	DB00515	cisplatin	C1140680	Malignant Neoplasm Of Ovary
DB01229	paclitaxel	DB00515	cisplatin	C1458155	Mammary Neoplasms
DB01229	paclitaxel	DB00515	cisplatin	C0919267	Ovarian Neoplasm
DB00773	etoposide	DB01181	ifosfamide	C0024121	Lung Neoplasms
DB00773	etoposide	DB01181	ifosfamide	C0039590	Testicular Neoplasms
DB00773	etoposide	DB01181	ifosfamide	C0149925	Small Cell Carcinoma Of Lung
DB00007	leuprolide	DB00499	flutamide	C0033578	Prostatic Neoplasms
DB04865	homoharringtonine	DB00987	cytarabine	C0023473	chronic myeloid leukemia (CML)
DB04865	homoharringtonine	DB00987	cytarabine	C0023467	Leukemia, Myelocytic, Acute
DB01248	docetaxel	DB00997	doxorubicin	C0678222	Breast Carcinoma
DB01248	docetaxel	DB00997	doxorubicin	C1458155	Mammary Neoplasms
DB01248	docetaxel	DB00997	doxorubicin	C0919267	Ovarian Neoplasm
DB01248	docetaxel	DB00762	irinotecan	C0038356	Stomach Neoplasms
DB01248	docetaxel	DB00762	irinotecan	C0030297	Pancreatic Neoplasm
DB01248	docetaxel	DB00762	irinotecan	C1458155	Mammary Neoplasms
DB01248	docetaxel	DB00762	irinotecan	C0007131	Non-Small Cell Lung Carcinoma
DB00773	etoposide	DB00541	vincristine	C0027819	neuroblastoma
DB00773	etoposide	DB00541	vincristine	C0035412	rhabdomyosarcoma
DB00773	etoposide	DB00541	vincristine	C0024299	Lymphoma
DB01204	mitoxantrone	DB00635	prednisone	C0026769	multiple sclerosis
DB01204	mitoxantrone	DB00635	prednisone	C0024299	Lymphoma
DB00322	floxuridine	DB00544	5-fluorouracil	C0038356	Stomach Neoplasms
DB00322	floxuridine	DB00544	5-fluorouracil	C1527249	colorectal cancer
DB00262	carmustine	DB01206	lomustine	C0009375	Colonic Neoplasms
DB00262	carmustine	DB01206	lomustine	C0024305	non-Hodgkin lymphoma (NHL)
DB00262	carmustine	DB01206	lomustine	C0024121	Lung Neoplasms
DB00262	carmustine	DB01206	lomustine	C0025202	melanoma
DB00262	carmustine	DB01206	lomustine	C0006118	Brain Neoplasms
DB00262	carmustine	DB01206	lomustine	C0019829	Hodgkin's lymphoma
DB00262	carmustine	DB00853	temozolomide	C0004114	astrocytoma
DB00262	carmustine	DB00853	temozolomide	C0025202	melanoma
DB00262	carmustine	DB00853	temozolomide	C0017636	glioblastoma
DB00722	lisinopril	DB00641	simvastatin	C0027051	Myocardial Infarction
DB00014	goserelin-acetate	DB00007	leuprolide	C0014175	endometriosis
DB01073	fludarabine	DB00987	cytarabine	C0024305	non-Hodgkin lymphoma (NHL)
DB01073	fludarabine	DB00987	cytarabine	C0023434	chronic lymphocytic leukemia (CLL)
DB01206	lomustine	DB00853	temozolomide	C0025202	melanoma
DB00541	vincristine	DB00762	irinotecan	C0023418	Leukemia
DB00541	vincristine	DB00762	irinotecan	C0024299	Lymphoma
DB00773	etoposide	DB00987	cytarabine	C0023467	Leukemia, Myelocytic, Acute
DB00773	etoposide	DB00987	cytarabine	C0024299	Lymphoma
DB00361	vinorelbine	DB01181	ifosfamide	C1458155	Mammary Neoplasms
DB00361	vinorelbine	DB01181	ifosfamide	C0919267	Ovarian Neoplasm
DB00361	vinorelbine	DB01181	ifosfamide	C0019829	Hodgkin's lymphoma
DB01041	Thalidomide	DB00635	prednisone	C0014742	Erythema Multiforme
DB01041	Thalidomide	DB00635	prednisone	C0003873	rheumatoid arthritis
DB01041	Thalidomide	DB00635	prednisone	C0010346	Crohn's disease
DB01041	Thalidomide	DB00635	prednisone	C0024419	Waldenstrom's macroglobulinemia (WM)
DB00688	mycophenolate-mofetil	DB00091	cyclosporine	C0033860	psoriasis
DB00544	5-fluorouracil	DB00650	leucovorin	C1527249	colorectal cancer
DB00515	cisplatin	DB01248	docetaxel	C0038356	Stomach Neoplasms
DB00515	cisplatin	DB01248	docetaxel	C1458155	Mammary Neoplasms
DB00515	cisplatin	DB01248	docetaxel	C0919267	Ovarian Neoplasm
DB00361	vinorelbine	DB01248	docetaxel	C0007131	Non-Small Cell Lung Carcinoma
DB00361	vinorelbine	DB01248	docetaxel	C1458155	Mammary Neoplasms
DB00361	vinorelbine	DB01248	docetaxel	C0919267	Ovarian Neoplasm
DB01204	mitoxantrone	DB01248	docetaxel	C1458155	Mammary Neoplasms
DB00022	Peginterferon alfa-2b	DB00811	ribavirin	C0524910	Hepatitis C, Chronic
DB00215	citalopram	DB00472	fluoxetine	C0011581	Depressive disorder
DB00215	citalopram	DB00472	fluoxetine	C1269683	Major Depressive Disorder
DB00531	cyclophosphamide	DB00563	methotrexate	C0006413	Burkitt's lymphoma
DB00531	cyclophosphamide	DB00563	methotrexate	C0024121	Lung Neoplasms
DB00531	cyclophosphamide	DB00563	methotrexate	C0026948	Mycosis Fungoides
DB00531	cyclophosphamide	DB00563	methotrexate	C0023449	Acute Lymphocytic Leukemia
DB00531	cyclophosphamide	DB00563	methotrexate	C0039590	Testicular Neoplasms
DB00531	cyclophosphamide	DB00563	methotrexate	C0023418	Leukemia
DB00531	cyclophosphamide	DB00563	methotrexate	C1458155	Mammary Neoplasms
DB01217	anastrozole	DB00072	trastuzumab	C1458155	Mammary Neoplasms
DB01101	capecitabine	DB00762	irinotecan	C1458155	Mammary Neoplasms
DB01101	capecitabine	DB00762	irinotecan	C1527249	colorectal cancer
DB01177	idarubicin	DB00987	cytarabine	C0023473	chronic myeloid leukemia (CML)
DB01177	idarubicin	DB00987	cytarabine	C0023487	acute promyelocytic leukemia (APL)
DB01177	idarubicin	DB00987	cytarabine	C0023467	Leukemia, Myelocytic, Acute
DB01177	idarubicin	DB00987	cytarabine	C0023449	Acute Lymphocytic Leukemia
DB00262	carmustine	DB00762	irinotecan	C0009375	Colonic Neoplasms
DB00575	clonidine	DB00422	methylphenidate	C1263846	attention-deficit/hyperactivity disorder (ADHD)
DB00635	prednisone	DB00531	cyclophosphamide	C0002880	Autoimmune Hemolytic Anemia
DB00635	prednisone	DB00531	cyclophosphamide	C0026769	multiple sclerosis
DB00635	prednisone	DB00531	cyclophosphamide	C0024419	Waldenstrom's macroglobulinemia (WM)
DB00635	prednisone	DB00531	cyclophosphamide	C0026948	Mycosis Fungoides
DB00635	prednisone	DB00531	cyclophosphamide	C0023434	chronic lymphocytic leukemia (CLL)
DB00635	prednisone	DB00531	cyclophosphamide	C0023449	Acute Lymphocytic Leukemia
DB00635	prednisone	DB00531	cyclophosphamide	C0027726	nephrotic syndrome
DB00635	prednisone	DB00531	cyclophosphamide	C0024299	Lymphoma
DB00635	prednisone	DB00531	cyclophosphamide	C0026896	myasthenia gravis
DB00635	prednisone	DB00531	cyclophosphamide	C0019829	Hodgkin's lymphoma
DB01212	ceftriaxone	DB00207	azithromycin	C0029882	Otitis Media
DB01212	ceftriaxone	DB00207	azithromycin	C0032285	pneumonia
DB01041	Thalidomide	DB01234	dexamethasone	C0026764	multiple myeloma
DB01041	Thalidomide	DB01234	dexamethasone	C0010346	Crohn's disease
DB01041	Thalidomide	DB01234	dexamethasone	C0014742	Erythema Multiforme
DB01041	Thalidomide	DB01234	dexamethasone	C0024138	Lupus Erythematosus, Discoid
DB01041	Thalidomide	DB01234	dexamethasone	C0003873	rheumatoid arthritis
DB00078	Ibritumomab tiuxetan	DB00073	Rituximab	C0024305	non-Hodgkin lymphoma (NHL)
DB00078	Ibritumomab tiuxetan	DB00073	Rituximab	C0079731	B-Cell Lymphomas
DB00008	Peginterferon alfa-2a	DB00811	ribavirin	C0524910	Hepatitis C, Chronic
DB00515	cisplatin	DB01030	topotecan	C0262584	Carcinoma, Small Cell
DB00515	cisplatin	DB01030	topotecan	C1140680	Malignant Neoplasm Of Ovary
DB00515	cisplatin	DB01030	topotecan	C0919267	Ovarian Neoplasm
DB01229	paclitaxel	DB00530	erlotinib	C0007131	Non-Small Cell Lung Carcinoma
DB01104	sertraline	DB00285	venlafaxine	C0030319	panic disorders
DB00515	cisplatin	DB00762	irinotecan	C0038356	Stomach Neoplasms
DB00515	cisplatin	DB00762	irinotecan	C1458155	Mammary Neoplasms
DB01248	docetaxel	DB00317	gefitinib	C0007131	Non-Small Cell Lung Carcinoma
DB00563	methotrexate	DB01281	Abatacept	C0003873	rheumatoid arthritis
DB00530	erlotinib	DB01248	docetaxel	C0007131	Non-Small Cell Lung Carcinoma
DB01101	capecitabine	DB01248	docetaxel	C1458155	Mammary Neoplasms
DB00072	trastuzumab	DB00675	tamoxifen	C1458155	Mammary Neoplasms
DB01229	paclitaxel	DB01248	docetaxel	C0919267	Ovarian Neoplasm
DB01229	paclitaxel	DB01248	docetaxel	C0678222	Breast Carcinoma
DB01229	paclitaxel	DB01248	docetaxel	C1458155	Mammary Neoplasms
DB01229	paclitaxel	DB01248	docetaxel	C0007131	Non-Small Cell Lung Carcinoma
DB00531	cyclophosphamide	DB00987	cytarabine	C0023467	Leukemia, Myelocytic, Acute
DB00531	cyclophosphamide	DB00987	cytarabine	C0023434	chronic lymphocytic leukemia (CLL)
DB00531	cyclophosphamide	DB00987	cytarabine	C0023449	Acute Lymphocytic Leukemia
