drug_1	drug_2
DB00391	DB00517
DB09076	DB01090
DB01071	DB01168
DB00391	DB00462
DB00986	DB00332
DB00391	DB00670
DB08897	DB01409
DB09076	DB06702
DB01409	DB00967
DB00366	DB01037
DB00517	DB06148
DB00366	DB01168
DB08897	DB00387
DB00387	DB06148
DB01409	DB01036
DB08897	DB01090
DB01591	DB06148
DB09076	DB00572
DB00434	DB01247
DB00782	DB06148
DB09076	DB00670
DB00366	DB01247
DB01409	DB01591
DB00986	DB00517
DB00366	DB00182
DB01071	DB09244
DB00391	DB09076
DB00391	DB01591
DB01071	DB00780
DB00986	DB01199
DB00434	DB01037
DB00986	DB01591
DB08897	DB00332
DB01090	DB06148
DB00434	DB01171
DB00391	DB01199
DB09076	DB00387
DB00391	DB00209
DB09076	DB00332
DB08897	DB00517
DB00986	DB00908
DB08897	DB06148
DB01409	DB00462
DB01409	DB00657
DB00283	DB09244
DB00986	DB00424
DB01409	DB06702
DB00391	DB00782
DB01409	DB00376
DB00366	DB09244
DB06153	DB00752
DB00340	DB06148
DB00986	DB00572
DB00986	DB01062
DB00366	DB09241
DB06153	DB01171
DB08897	DB06702
DB09076	DB00376
DB00986	DB00915
DB12278	DB06148
DB01409	DB00387
DB00391	DB00967
DB01409	DB00782
DB00283	DB00805
DB00434	DB00752
DB09076	DB00908
DB00283	DB01171
DB01409	DB06148
DB00391	DB00424
DB08897	DB00986
DB08897	DB00747
DB00434	DB00182
DB00986	DB00209
DB00986	DB01173
DB00366	DB00752
DB01173	DB06148
DB01409	DB00670
DB00986	DB00967
DB00332	DB06148
DB00434	DB01367
DB00986	DB06148
DB00391	DB01036
DB00391	DB00940
DB09076	DB00424
DB00391	DB00392
DB00366	DB01171
DB00986	DB00462
DB09076	DB01199
DB08897	DB00340
DB00283	DB01168
DB08897	DB01199
DB00986	DB00376
DB09076	DB01409
DB08897	DB00670
DB08897	DB00462
DB09076	DB00979
DB00391	DB00810
DB00391	DB00496
DB00391	DB12278
DB00391	DB00809
DB01071	DB01626
DB00283	DB01367
DB00245	DB06148
DB01409	DB01173
DB00986	DB06702
DB01071	DB01037
DB08897	DB00908
DB00434	DB09245
DB00434	DB09241
DB00986	DB00387
DB08897	DB00376
DB06153	DB09244
DB08897	DB00657
DB01409	DB01199
DB00391	DB00245
DB08897	DB00809
DB06153	DB01037
DB00986	DB00782
DB00391	DB01090
DB09076	DB00804
DB09076	DB00967
DB00496	DB06148
DB00366	DB01626
DB00283	DB00182
DB01071	DB01367
DB00392	DB06148
