drug_1	drug_2
DB00484	DB00373
DB00443	DB02300
DB01034	DB01235
DB00983	DB01222
DB00773	DB00188
DB00178	DB00796
DB01248	DB00762
DB00530	DB00112
DB00515	DB00441
DB00325	DB01119
DB00008	DB00811
DB00313	DB00252
DB00313	DB00593
DB00072	DB00188
DB02546	DB00619
DB00445	DB00072
DB00072	DB00997
DB00432	DB01248
DB00361	DB00072
DB00531	DB00072
DB00654	DB00373
DB01015	DB00440
DB01194	DB00373
DB00388	DB00979
DB00877	DB00619
DB00515	DB01030
DB01101	DB01248
DB00586	DB00316
DB00515	DB00531
DB00514	DB01069
DB00586	DB00929
DB00405	DB00852
DB00051	DB00563
DB00850	DB00321
DB00277	DB01223
DB01229	DB00112
DB00790	DB00808
DB00317	DB00762
DB01032	DB00950
DB00631	DB00987
DB00530	DB00642
DB00295	DB00996
DB04876	DB01132
DB00381	DB00790
DB00860	DB00975
DB00480	DB01234
DB00966	DB00381
DB00455	DB00471
DB00584	DB00528
DB02546	DB00188
DB00072	DB00675
DB08799	DB01620
DB00945	DB00975
DB00572	DB01081
DB00572	DB00733
DB01241	DB00439
DB00503	DB01232
DB01098	DB00091
DB01577	DB01114
DB00115	DB01229
DB00515	DB00072
DB01156	DB00704
DB01229	DB00531
DB01268	DB00112
DB00983	DB00394
DB00905	DB00373
DB00996	DB00906
DB00273	DB00555
DB00273	DB00564
DB00313	DB00273
DB00277	DB01075
DB00776	DB00273
DB00273	DB01202
DB00564	DB00555
DB01276	DB00331
DB00026	DB01234
DB00612	DB00966
DB00209	DB01591
DB01194	DB00654
DB00755	DB01169
DB00706	DB01591
DB00999	DB00542
DB00381	DB01076
DB00999	DB00492
DB00725	DB00956
DB00381	DB00542
DB00381	DB00275
DB00999	DB00594
DB00436	DB01203
DB00515	DB00762
DB01590	DB00864
DB01006	DB00717
DB00539	DB01229
DB00399	DB00997
DB00722	DB00999
DB00678	DB00999
DB00999	DB00968
DB00264	DB00999
DB00381	DB00177
DB01275	DB00883
DB00999	DB01029
DB00999	DB00275
DB00999	DB00571
DB00881	DB00999
DB00537	DB00440
DB00415	DB00798
DB01026	DB01013
DB01101	DB00762
DB01255	DB01175
DB00688	DB00877
DB00731	DB00177
DB01225	DB00682
DB00951	DB01201
DB00775	DB00877
DB06335	DB00412
DB00515	DB00997
DB00313	DB00734
DB00851	DB00853
DB00211	DB00104
DB02638	DB00368
DB01229	DB01101
