drug_1	drug_2
DB00484	DB00373
DB00443	DB02300
DB00257	DB00443
DB01034	DB01235
DB00983	DB01222
DB00625	DB00300
DB00625	DB00879
DB00773	DB00188
DB01254	DB00526
DB00178	DB00796
DB01248	DB00762
DB01232	DB01601
DB00080	DB01045
DB00080	DB00415
DB00530	DB00112
DB00798	DB00512
DB01229	DB05109
DB00681	DB00362
DB00515	DB00441
DB00684	DB00760
DB00818	DB01236
DB00415	DB01598
DB00325	DB01119
DB00008	DB00811
DB00313	DB00252
DB00313	DB00593
DB03080	DB01169
DB00305	DB00997
DB00633	DB00575
DB00803	DB01598
DB00072	DB00188
DB02546	DB00619
DB00445	DB00072
DB00412	DB00958
DB00072	DB00997
DB00432	DB01248
DB00361	DB00072
DB00531	DB00072
DB00654	DB00373
DB00072	DB00958
DB01015	DB00440
DB01194	DB00373
DB00205	DB01299
DB00762	DB00526
DB00515	DB05109
DB00388	DB00979
DB00877	DB00619
DB00515	DB01030
DB01101	DB01248
DB00586	DB00316
DB00313	DB00760
DB00515	DB00531
DB00514	DB01069
DB00586	DB00929
DB00405	DB00852
DB00514	DB00874
DB00051	DB00563
DB01598	DB00207
DB00850	DB00321
DB00495	DB03852
DB00277	DB01223
DB00766	DB01060
DB01044	DB00537
DB01172	DB00567
DB01229	DB00112
DB00790	DB00808
DB00317	DB00762
DB01032	DB00950
DB00631	DB00987
DB00530	DB00642
DB00295	DB00996
DB04876	DB01132
DB00381	DB00790
DB00860	DB00975
DB00260	DB03823
DB00480	DB01234
DB00584	DB01054
DB06697	DB06708
DB00966	DB00381
DB00455	DB00471
DB00584	DB00528
DB02546	DB00188
DB00072	DB00675
DB01060	DB00815
DB08799	DB01620
DB00945	DB00975
DB01131	DB01076
DB00572	DB01081
DB00572	DB00733
DB05109	DB00997
DB01241	DB00439
DB00503	DB01232
DB01098	DB00091
DB00626	DB00781
DB01577	DB01114
DB00115	DB01229
DB00709	DB00300
DB00515	DB00072
DB05259	DB01017
DB01110	DB00781
DB00398	DB01645
DB01101	DB00526
DB01156	DB00704
DB00398	DB00958
DB01229	DB00531
DB01268	DB00112
DB00983	DB00394
DB00438	DB00207
DB00905	DB00373
DB00996	DB00906
DB01258	DB01029
DB00273	DB00555
DB00273	DB00564
DB00313	DB00273
DB00277	DB01075
DB00776	DB00273
DB00273	DB01202
DB00564	DB00555
DB01045	DB02703
DB00399	DB04960
DB01276	DB00331
