drug_1	drug_2
DB00529	DB01004
DB00363	DB00260
DB06285	DB00630
DB01104	DB00704
DB00375	DB00227
DB09274	DB00041
DB00396	DB00783
DB09312	DB00091
DB00531	DB00091
DB00531	DB01073
DB00563	DB00091
DB00515	DB00773
DB00515	DB00361
DB01229	DB01030
DB00544	DB00848
DB00531	DB01042
DB00773	DB00958
DB00773	DB00531
DB00014	DB01128
DB00635	DB01042
DB00515	DB00544
DB01073	DB00104
DB01262	DB00091
DB01165	DB00537
DB01229	DB00958
DB01229	DB00762
DB00541	DB00958
DB01229	DB00361
DB01005	DB00544
DB00563	DB00570
DB01143	DB04326
DB01177	DB00242
DB01233	DB01234
DB01234	DB00889
DB03516	DB00544
DB01030	DB00958
DB00531	DB04858
DB00563	DB00987
DB01216	DB00499
DB00515	DB04858
DB01229	DB00515
DB01042	DB01234
DB00982	DB01168
DB00773	DB01181
DB00762	DB00526
DB00262	DB11919
DB00007	DB00499
DB04865	DB00987
DB01248	DB00997
DB01073	DB01042
DB00531	DB01008
DB00773	DB01008
DB01248	DB00762
DB00773	DB00541
DB00515	DB00958
DB01248	DB01196
DB01204	DB00635
DB01229	DB00526
DB00322	DB00544
DB00515	DB06362
DB00262	DB01206
DB00262	DB00853
DB01115	DB00641
DB00722	DB00641
DB00531	DB09312
DB00014	DB00007
DB01073	DB00987
DB05829	DB00630
DB01229	DB11752
DB00864	DB00091
DB06549	DB00958
DB01030	DB01042
DB05332	DB00762
DB01248	DB00958
DB12549	DB00958
DB05332	DB01234
DB01206	DB00853
DB00773	DB06159
DB00544	DB00526
DB00541	DB00762
DB00877	DB00098
DB00773	DB00987
DB00515	DB11752
DB12264	DB00503
DB00361	DB01181
DB01041	DB00635
DB00688	DB00091
DB00544	DB00650
DB01041	DB01073
DB00515	DB01933
DB00515	DB01248
DB00361	DB01248
DB01041	DB05332
DB01204	DB01248
DB00022	DB00811
DB00215	DB00472
DB00531	DB00563
DB01217	DB00072
DB01101	DB00762
DB01177	DB00987
DB00361	DB00853
DB00262	DB00762
DB04845	DB00958
DB01229	DB00112
DB01229	DB00188
DB00482	DB01248
DB00515	DB00530
DB00575	DB00422
DB01610	DB01004
DB01933	DB00762
DB00635	DB00531
DB00482	DB06243
DB00515	DB00317
DB01229	DB04620
DB04620	DB00762
DB01212	DB00207
DB01933	DB00958
DB01101	DB06246
DB00482	DB01262
DB06534	DB00958
DB01041	DB01234
DB01229	DB01196
DB00105	DB00982
DB00078	DB00073
DB00008	DB00811
DB06573	DB00399
DB01101	DB00317
DB00530	DB00853
DB01001	DB05259
DB04960	DB00619
DB00503	DB01319
DB01101	DB00526
DB00515	DB01030
DB01229	DB00530
DB01104	DB00285
DB00515	DB00762
DB01030	DB01933
DB01167	DB06595
DB01101	DB00112
DB01248	DB00317
DB00563	DB01281
DB00530	DB01248
DB04960	DB00853
DB00399	DB01006
DB01101	DB01248
DB05109	DB01234
DB00853	DB11919
DB00072	DB00675
DB01229	DB04786
DB01229	DB01248
DB00531	DB00987
DB00932	DB00503
DB00553	DB00307
DB00480	DB01234
DB01104	DB00334
DB00951	DB01201
DB01045	DB00951
DB04845	DB00515
DB01217	DB00317
DB00947	DB00317
DB00399	DB11126
DB03496	DB01073
DB01248	DB05134
DB00864	DB01073
DB00945	DB00758
DB00188	DB00958
DB01204	DB00188
DB00877	DB00087
DB00188	DB00762
DB01229	DB00982
DB00482	DB00530
DB01041	DB00762
DB00002	DB00762
DB00441	DB00642
DB00503	DB05501
DB00322	DB00762
DB01248	DB00188
DB00254	DB01060
DB00783	DB00603
DB09072	DB00745
DB00188	DB00526
DB01248	DB00112
DB04786	DB01248
DB01073	DB00188
DB00014	DB00531
DB00482	DB00317
DB06240	DB01248
DB01073	DB00087
DB00073	DB00087
DB01041	DB00853
DB01259	DB01006
DB00531	DB00552
DB00073	DB00563
DB01177	DB15455
DB00313	DB01262
DB01259	DB01229
DB11940	DB00441
DB01042	DB00099
DB00947	DB01217
DB06626	DB01248
DB11940	DB00987
DB04960	DB01101
DB04880	DB00264
DB01259	DB01101
DB01073	DB06176
DB00043	DB13867
DB00482	DB01101
DB00515	DB11940
DB00412	DB00331
DB06448	DB01217
DB00073	DB00112
DB01041	DB00188
DB01217	DB00884
DB00968	DB00099
DB00947	DB04960
DB00544	DB04786
DB01008	DB01042
DB00515	DB11924
DB01248	DB00619
DB11940	DB00762
DB11890	DB00853
DB01590	DB00317
DB00694	DB00987
DB00413	DB01175
DB06243	DB01128
DB11919	DB01181
DB01101	DB00619
DB01229	DB05134
DB00515	DB00642
DB00515	DB00441
DB00688	DB00864
DB01033	DB00563
DB00624	DB00884
DB00016	DB00012
DB00515	DB04915
DB01229	DB04915
DB01610	DB00495
DB00361	DB01101
DB01217	DB01128
DB00648	DB00428
DB00188	DB05134
DB00441	DB06366
DB01276	DB00331
DB05134	DB00987
DB05524	DB06287
DB00853	DB00762
DB00709	DB00220
DB04876	DB01132
DB04876	DB00222
DB01024	DB00111
DB01229	DB00441
DB00947	DB00530
DB00773	DB00526
DB00642	DB00958
DB01120	DB00331
DB04876	DB00331
DB06448	DB05076
DB05808	DB01248
DB00188	DB00997
DB06825	DB00499
DB06273	DB00563
DB12558	DB01590
DB00531	DB01101
DB01132	DB00331
DB01030	DB00853
DB00635	DB01248
DB00746	DB01609
DB00398	DB00851
DB02546	DB00188
DB00642	DB05101
DB11752	DB06287
DB00482	DB00853
DB00982	DB00853
DB05817	DB00987
DB00544	DB01248
DB00530	DB06287
DB00773	DB04960
DB12582	DB11672
DB00014	DB00624
DB01262	DB06176
DB00073	DB00188
DB00746	DB08826
DB00073	DB01073
DB06243	DB00605
DB01104	DB01068
DB00688	DB00877
DB00912	DB00331
DB05134	DB00762
DB00635	DB01281
DB02546	DB01101
DB06335	DB00331
DB00800	DB06151
DB00635	DB05786
DB00704	DB01043
DB00973	DB00641
DB00783	DB13981
DB02546	DB00307
DB00361	DB00441
DB01156	DB00704
DB00590	DB00177
DB12230	DB00177
DB00530	DB00112
DB00531	DB00997
DB01006	DB00072
DB01276	DB00412
DB00904	DB01075
DB01041	DB00073
DB00480	DB00073
DB00704	DB00745
DB00704	DB00822
DB00681	DB00196
DB00361	DB00072
DB00072	DB01101
DB01259	DB01248
DB00333	DB00822
DB08889	DB01234
DB00361	DB01196
DB00678	DB00695
DB00480	DB00188
DB00248	DB01235
DB00563	DB00619
DB01005	DB00619
DB00603	DB00624
DB00915	DB00571
DB01259	DB06589
DB08873	DB00811
DB00624	DB11906
DB00252	DB00682
DB00111	DB00864
DB01076	DB00641
DB01039	DB07215
DB00999	DB00177
DB00381	DB00999
DB01006	DB00675
DB01005	DB00945
DB00997	DB01234
DB01008	DB01073
DB00482	DB00762
DB01116	DB11815
DB00289	DB00422
DB01248	DB00526
DB00999	DB00335
DB04879	DB00441
DB00014	DB01217
DB00531	DB00642
DB01357	DB00603
DB00441	DB01248
DB00441	DB00958
DB01225	DB00055
DB00642	DB00762
DB00441	DB00072
DB00441	DB00762
DB00007	DB00399
DB00624	DB01126
DB00877	DB00864
DB00877	DB00635
DB00005	DB00563
DB01238	DB00260
DB01234	DB00987
DB00005	DB00073
DB00482	DB00990
DB00005	DB00441
DB00947	DB00990
DB00635	DB05259
DB00642	DB00002
DB00317	DB00675
DB04845	DB01045
DB00065	DB00563
DB00563	DB06674
DB01104	DB00279
DB00020	DB00099
DB09256	DB00762
DB09256	DB01248
DB09327	DB00650
DB00060	DB05259
DB00258	DB01076
DB01076	DB00658
DB00588	DB00938
DB01104	DB00246
DB04879	DB00072
DB00441	DB00073
DB00982	DB02546
DB01576	DB00745
DB06626	DB00441
DB00313	DB14509
DB00007	DB01248
DB00480	DB00635
DB00437	DB00049
DB00515	DB01181
DB00030	DB00331
DB00520	DB00582
DB00112	DB00675
DB00460	DB04895
