drug_1	drug_2
DB00373	DB00484
DB00443	DB02300
DB00443	DB00257
DB01235	DB01034
DB01222	DB00983
DB00625	DB00300
DB00625	DB00879
DB00188	DB00773
DB01254	DB00526
DB00796	DB00178
DB01248	DB00762
DB01232	DB01601
DB00080	DB01045
DB00415	DB00080
DB00512	DB00798
DB01229	DB05109
DB00681	DB00362
DB00441	DB00515
DB01236	DB00818
DB00415	DB01598
DB01119	DB00325
DB00252	DB00313
DB00313	DB00593
DB01169	DB03080
DB00305	DB00997
DB00633	DB00575
DB00188	DB00072
DB02546	DB00619
DB00072	DB00445
DB00412	DB00958
DB00072	DB00997
DB01248	DB00432
DB00072	DB00361
DB00072	DB00531
DB00072	DB00958
DB00373	DB01194
DB00205	DB01299
DB00762	DB00526
DB00515	DB05109
DB00388	DB00979
DB00877	DB00619
DB00515	DB01030
DB00514	DB01069
DB00929	DB00586
DB00852	DB00405
DB00514	DB00874
DB00051	DB00563
DB01598	DB00207
DB00321	DB00850
DB03852	DB00495
DB01060	DB00766
DB00537	DB01044
DB01172	DB00567
DB01229	DB00112
DB00317	DB00762
DB00950	DB01032
DB00642	DB00530
DB00996	DB00295
DB04876	DB01132
DB00790	DB00381
DB00860	DB00975
DB00260	DB03823
DB01054	DB00584
DB00381	DB00966
DB00455	DB00471
DB00584	DB00528
DB00188	DB02546
DB00675	DB00072
DB00815	DB01060
DB08799	DB01620
DB00945	DB00975
DB01076	DB01131
DB01081	DB00572
DB00733	DB00572
DB01241	DB00439
DB00091	DB01098
DB00781	DB00626
DB01577	DB01114
DB00115	DB01229
DB00300	DB00709
DB00072	DB00515
DB05259	DB01017
DB00781	DB01110
DB01645	DB00398
DB00704	DB01156
DB00398	DB00958
DB00531	DB01229
DB00207	DB00438
DB00373	DB00905
DB00996	DB00906
DB01029	DB01258
DB00273	DB00555
DB00273	DB00564
DB00273	DB00313
DB01075	DB00277
DB00273	DB00776
DB00273	DB01202
DB02703	DB01045
DB00399	DB04960
DB00331	DB01276
DB00026	DB01234
DB00612	DB00966
DB00209	DB01591
DB00654	DB01194
DB00755	DB01169
DB01591	DB00706
DB00999	DB00542
DB00999	DB01258
DB01076	DB00381
DB00492	DB00999
DB00874	DB00852
DB00956	DB00725
DB00542	DB00381
DB00275	DB00381
DB00999	DB00594
DB01203	DB00436
DB00515	DB00762
DB00515	DB02342
DB01229	DB02342
DB00717	DB01006
DB01229	DB00539
DB00399	DB00997
DB00999	DB00722
DB00999	DB00678
DB00999	DB00968
DB00999	DB00264
DB00177	DB00381
DB00883	DB01275
DB00999	DB01029
DB00999	DB00275
DB00999	DB00571
DB00999	DB00881
DB00479	DB00560
DB00560	DB01137
DB00560	DB00803
DB00560	DB01598
DB00537	DB00440
DB00415	DB00798
DB01026	DB01013
DB01255	DB01175
DB00688	DB00877
DB01225	DB00682
DB00951	DB01201
DB00877	DB00775
DB00412	DB06335
DB01229	DB01259
DB00997	DB00515
DB00734	DB00313
DB02638	DB00368
DB01101	DB01229
DB06724	DB00169
DB00041	DB00030
DB06151	DB00746
DB04960	DB00947
DB00230	DB00497
DB01248	DB05294
DB01076	DB00973
DB01274	DB01409
DB00544	DB00650
DB00310	DB00594
DB00015	DB00054
DB01101	DB00112
DB01248	DB00072
DB00313	DB00555
DB00996	DB00313
DB00996	DB00564
DB00641	DB01039
DB00417	DB00199
DB00776	DB01202
DB01259	DB01030
DB01088	DB00203
DB00996	DB00776
DB00178	DB01258
DB01050	DB01075
DB01060	DB00338
DB00987	DB00515
DB01117	DB01131
DB00829	DB00813
DB01016	DB06203
DB01606	DB00319
DB00781	DB00440
DB00860	DB00634
DB04915	DB00515
DB01098	DB01241
DB00544	DB02380
DB00997	DB01229
DB01114	DB00852
DB00956	DB01114
DB01598	DB01597
DB00766	DB01607
DB00950	DB00852
DB00967	DB00852
DB01032	DB01394
DB00188	DB00480
DB00318	DB01069
DB00853	DB00515
DB01006	DB01259
DB00852	DB00427
DB00072	DB00441
DB00999	DB01197
DB00945	DB00497
DB00999	DB00796
DB00945	DB00395
DB00371	DB00945
DB00669	DB00788
DB01551	DB00945
DB00999	DB00966
DB00999	DB00421
DB00999	DB00177
DB00999	DB00384
DB01023	DB00584
DB00661	DB00519
DB00945	DB00423
DB00999	DB00876
DB00999	DB00584
DB00438	DB00487
DB00310	DB00335
DB00696	DB00201
DB00956	DB01050
DB00316	DB01009
DB00479	DB01212
DB00479	DB00438
DB00321	DB00475
DB00332	DB01001
DB00455	DB00852
DB01050	DB00497
DB01183	DB00652
DB00373	DB00869
DB00537	DB01234
DB00537	DB00741
DB00999	DB00612
DB00741	DB00595
DB00684	DB01234
DB00514	DB00809
DB01050	DB00852
DB00433	DB00902
DB01082	DB00381
DB00073	DB01073
DB00709	DB01048
DB00709	DB00495
DB00300	DB00879
DB00750	DB00281
DB00227	DB00627
DB00684	DB00873
DB00316	DB00241
DB00951	DB01045
DB06707	DB00961
DB00788	DB00448
DB00331	DB01132
DB00331	DB00912
DB00641	DB00627
DB00339	DB05154
DB08868	DB00335
DB00331	DB00997
DB00072	DB01229
DB00316	DB00318
DB01033	DB00207
DB00647	DB00316
DB01211	DB01045
DB00316	DB00652
DB00615	DB01033
DB00316	DB00497
DB01033	DB01045
DB00316	DB01551
DB01211	DB01033
DB06711	DB01620
DB00331	DB01016
DB00331	DB01067
DB00193	DB00316
DB00222	DB00412
DB00222	DB01132
DB00331	DB01261
DB01235	DB00190
DB00341	DB00852
DB01183	DB00921
DB00853	DB00619
DB01229	DB01262
DB00994	DB00781
DB00515	DB00526
DB00788	DB00852
DB00188	DB00515
DB00620	DB00646
DB00338	DB01390
DB00781	DB00595
DB06203	DB01132
DB00388	DB01069
DB00860	DB00798
DB00591	DB00684
DB00334	DB00472
DB00294	DB00977
DB01395	DB00977
DB01395	DB00783
DB00977	DB00823
DB00717	DB01357
DB00783	DB00957
DB00199	DB00263
DB00367	DB00783
DB00281	DB00668
DB00750	DB00668
DB00297	DB00668
DB00030	DB06203
DB01023	DB01029
DB00331	DB08907
DB01242	DB00472
DB01224	DB00472
DB01306	DB00912
DB00681	DB00196
DB00073	DB00480
DB00188	DB01262
DB00718	DB00709
DB00203	DB00820
DB00544	DB00398
DB00188	DB00997
DB00112	DB01259
DB01229	DB08916
DB00945	DB08908
DB06674	DB00563
DB01101	DB01259
DB00531	DB01101
DB00073	DB00078
DB00818	DB00683
DB01101	DB04845
DB01590	DB01006
DB01222	DB00448
DB00718	DB00442
DB00441	DB00526
DB01234	DB08910
DB01109	DB00682
DB00643	DB00602
DB01023	DB00264
DB01248	DB00997
DB00074	DB00877
DB00727	DB00281
DB00005	DB00563
DB00717	DB00977
DB01204	DB00635
DB00207	DB01045
DB01270	DB00460
DB00313	DB00997
DB00254	DB01045
DB00331	DB01306
DB00704	DB01104
DB00412	DB00903
DB00958	DB00441
DB01248	DB00635
DB01276	DB01132
DB00355	DB00512
DB00394	DB01001
DB02546	DB00056
DB01076	DB00758
DB00544	DB00104
DB00394	DB00938
DB01137	DB00798
DB01128	DB00014
DB01238	DB01356
DB00331	DB00158
DB01095	DB00973
DB01212	DB01137
DB00878	DB00281
DB01006	DB00050
DB00331	DB06168
DB00938	DB00983
DB06590	DB01211
DB05332	DB00928
DB00641	DB00317
DB00813	DB00683
DB01212	DB00303
DB00813	DB00961
DB00588	DB00983
DB00388	DB01233
DB00695	DB00421
DB00864	DB00877
DB01042	DB01008
DB00864	DB00563
DB00758	DB01590
DB00441	DB01229
DB00641	DB00175
DB00515	DB00642
DB01029	DB01197
DB00860	DB00993
DB00480	DB00928
DB00497	DB00327
DB00007	DB00783
DB00749	DB00571
DB00983	DB01409
DB00175	DB00177
DB00073	DB00291
DB00331	DB00047
DB00188	DB01177
DB01217	DB00014
DB01109	DB00054
DB01222	DB00871
DB01098	DB01225
DB00438	DB00916
DB00584	DB01136
DB00055	DB01225
DB01101	DB00398
DB01076	DB00641
DB00316	DB00295
DB00238	DB00564
DB01248	DB00958
DB00238	DB00495
DB00503	DB01394
DB00796	DB01115
DB01264	DB00503
DB00945	DB01132
DB00515	DB00361
DB01212	DB00713
DB01309	DB00047
DB01248	DB08885
DB00635	DB06772
DB00169	DB00047
DB00412	DB00052
DB00331	DB00930
DB01212	DB01211
DB00773	DB00958
DB00678	DB00571
DB01276	DB00030
DB00331	DB00421
DB02325	DB00898
DB06643	DB06285
DB00072	DB00112
DB01221	DB00295
DB00860	DB00588
DB00912	DB00030
DB04878	DB06203
DB00996	DB00476
DB00993	DB00065
DB00398	DB00928
DB00929	DB00834
DB00563	DB06273
DB00091	DB00098
DB00531	DB00860
DB00997	DB00398
DB01212	DB00916
DB05039	DB00938
DB06335	DB01132
DB01171	DB06288
DB00153	DB06724
DB00422	DB01576
DB00313	DB01262
DB00073	DB01234
DB00796	DB00584
DB00065	DB00563
DB00999	DB00381
DB01211	DB00588
DB00932	DB00503
DB04398	DB01390
DB00678	DB00335
DB00331	DB01120
DB00518	DB00602
DB01036	DB01263
DB00678	DB00381
DB01268	DB00317
DB00860	DB06151
DB00973	DB00627
DB01104	DB00334
DB00661	DB01356
DB00860	DB00471
DB05630	DB01421
DB00338	DB00586
DB00588	DB00043
DB00758	DB01229
DB00704	DB00921
DB00313	DB01238
DB00220	DB00709
DB00990	DB01590
DB01076	DB01098
DB01212	DB00601
DB00678	DB01258
DB01012	DB00910
DB01609	DB00746
DB00945	DB00627
DB00497	DB01183
DB04106	DB00112
DB00398	DB01268
